"Brazil Rio De Janeiro","Brazil Rio De Janeiro","LOCATION"
"Chief of Staff of US Air Force","Chief of Staff of US Air Force","LOCATION"
"AMCOMSUL DHAHRAN","AMCOMSUL DHAHRAN","LOCATION"
"Secretary of State","Secretary of State","LOCATION"
"Pakistan Islamabad","Pakistan Islamabad","LOCATION"
"France Paris","France Paris","LOCATION"
"Iraq Baghdad","Iraq Baghdad","LOCATION"
"India New Delhi","India New Delhi","LOCATION"
"Afghanistan Kabul","Afghanistan Kabul","LOCATION"
"Russia Moscow","Russia Moscow","LOCATION"
"Israel Jerusalem","Israel Jerusalem","LOCATION"
"Commander in Chief United States Southern Command Canal Zone","Commander in Chief United States Southern Command Canal Zone","LOCATION"
"Italy Rome","Italy Rome","LOCATION"
"DEPTOTREAS","DEPTOTREAS","LOCATION"
"Brazil Brasilia","Brazil Brasilia","LOCATION"
"Egypt Cairo","Egypt Cairo","LOCATION"
"Commander in Chief European Command Vaihingen Germany","Commander in Chief European Command Vaihingen Germany","LOCATION"
"Djibouti Djibouti","Djibouti Djibouti","LOCATION"
"Ethiopia Addis Ababa","Ethiopia Addis Ababa","LOCATION"
"Belgium Brussels","Belgium Brussels","LOCATION"
"Israel Tel Aviv","Israel Tel Aviv","LOCATION"
"EUCOM VAIHINGEN GE","EUCOM VAIHINGEN GE","LOCATION"
"AMCONSUL JEDDAH","AMCONSUL JEDDAH","LOCATION"
"Algeria Algiers","Algeria Algiers","LOCATION"
"Bahrain Manama","Bahrain Manama","LOCATION"
"Cyprus Nicosia","Cyprus Nicosia","LOCATION"
"Egypt Alexandria","Egypt Alexandria","LOCATION"
"Benin Cotonou","Benin Cotonou","LOCATION"
"CUS","CUS","LOCATION"
"AMMAN POUCH","AMMAN POUCH","LOCATION"
"Niger Niamey","Niger Niamey","LOCATION"
"Bolivia La Paz","Bolivia La Paz","LOCATION"
"Central Intelligence Agency","Central Intelligence Agency","LOCATION"
"Canada Montreal","Canada Montreal","LOCATION"
